id,tanggal,Facebook,Instagram,TikTok,Penjualan
1,01 Jan 2024,2958,2850,354,1
2,02 Jan 2024,2960,2848,356,3
3,03 Jan 2024,2956,2852,352,2
4,04 Jan 2024,2962,2846,358,0
5,05 Jan 2024,2954,2854,350,0
6,06 Jan 2024,2964,2844,360,2
7,07 Jan 2024,2952,2856,348,1
8,08 Jan 2024,2966,2842,362,3
9,09 Jan 2024,2950,2858,346,2
10,10 Jan 2024,2968,2840,364,1
11,11 Jan 2024,2948,2860,344,2
12,12 Jan 2024,2970,2838,366,2
13,13 Jan 2024,2946,2862,342,0
14,14 Jan 2024,2972,2836,368,1
15,15 Jan 2024,2944,2864,340,3
16,16 Jan 2024,2974,2834,370,2
17,17 Jan 2024,2942,2866,338,1
18,18 Jan 2024,2976,2832,372,2
19,19 Jan 2024,2940,2868,336,2
20,20 Jan 2024,2978,2830,374,2
21,21 Jan 2024,2938,2870,334,0
22,22 Jan 2024,2980,2828,376,3
23,23 Jan 2024,2936,2872,332,0
24,24 Jan 2024,2982,2826,378,1
25,25 Jan 2024,2934,2874,330,1
26,26 Jan 2024,2984,2824,380,1
27,27 Jan 2024,2932,2876,328,2
28,28 Jan 2024,2986,2822,382,3
29,29 Jan 2024,2930,2878,326,2
30,30 Jan 2024,2988,2820,384,2
31,31 Jan 2024,2960,2847,354,0
32,01 Feb 2024,20142,6540,512,1
33,02 Feb 2024,18850,7112,580,3
34,03 Feb 2024,21200,6890,496,0
35,04 Feb 2024,19462,6432,544,1
36,05 Feb 2024,17988,7254,610,0
37,06 Feb 2024,22110,6108,522,0
38,07 Feb 2024,19774,6966,488,0
39,08 Feb 2024,20332,6320,576,3
40,09 Feb 2024,18156,7412,530,2
41,10 Feb 2024,21504,6678,464,3
42,11 Feb 2024,19228,6944,598,0
43,12 Feb 2024,20880,7050,552,2
44,13 Feb 2024,17654,6222,518,1
45,14 Feb 2024,22406,7334,470,0
46,15 Feb 2024,19550,6588,622,2
47,16 Feb 2024,20118,6816,540,1
48,17 Feb 2024,18792,7140,494,0
49,18 Feb 2024,21900,6398,566,1
50,19 Feb 2024,19334,6702,582,1
51,20 Feb 2024,20662,7224,504,2
52,21 Feb 2024,17448,6456,608,0
53,22 Feb 2024,22770,6980,452,1
54,23 Feb 2024,19112,6164,590,0
55,24 Feb 2024,20556,7428,526,3
56,25 Feb 2024,18330,6512,478,2
57,26 Feb 2024,21444,6874,564,3
58,27 Feb 2024,19968,7104,534,3
59,28 Feb 2024,23638,6110,500,2
60,29 Feb 2024,19248,5162,452,1
61,01 Mar 2024,19250,5160,450,0
62,02 Mar 2024,19246,5164,452,0
63,03 Mar 2024,19252,5158,448,0
64,04 Mar 2024,19244,5166,454,3
65,05 Mar 2024,19254,5156,446,0
66,06 Mar 2024,19242,5168,456,0
67,07 Mar 2024,19256,5154,444,0
68,08 Mar 2024,19240,5170,458,2
69,09 Mar 2024,19258,5152,442,0
70,10 Mar 2024,19238,5172,460,2
71,11 Mar 2024,19260,5150,440,2
72,12 Mar 2024,19236,5174,462,2
73,13 Mar 2024,19262,5148,438,1
74,14 Mar 2024,19234,5176,464,1
75,15 Mar 2024,19264,5146,436,1
76,16 Mar 2024,19232,5178,466,1
77,17 Mar 2024,19266,5144,434,0
78,18 Mar 2024,19230,5180,468,1
79,19 Mar 2024,19268,5142,432,2
80,20 Mar 2024,19228,5182,470,1
81,21 Mar 2024,19270,5140,430,1
82,22 Mar 2024,19226,5184,472,3
83,23 Mar 2024,19272,5138,428,2
84,24 Mar 2024,19224,5186,474,0
85,25 Mar 2024,19274,5136,426,2
86,26 Mar 2024,19222,5188,476,3
87,27 Mar 2024,19276,5134,424,1
88,28 Mar 2024,19220,5190,478,1
89,29 Mar 2024,19278,5132,422,1
90,30 Mar 2024,19250,5163,450,0
91,31 Mar 2024,15620,5842,1150,0
92,01 Apr 2024,15104,6120,1082,3
93,02 Apr 2024,15892,5956,1214,0
94,03 Apr 2024,14956,6034,1106,1
95,04 Apr 2024,16210,5780,1188,1
96,05 Apr 2024,15442,6214,1054,2
